ui,name,mesh_number
D000069287,capecitabine,"D03.383.742.680.245.500.425, D03.383.742.698.875.404.425, D13.570.230.329.313, D13.570.685.245.500.425"
D000069289,parasite encystment,G07.345.500.550.875
D000069290,incisional hernia,"C23.300.707.945, C23.550.767.500"
D000069292,pyroptosis,G04.146.954.035.530
D000069293,plasmablastic lymphoma,"C04.557.386.480.150.585.500, C15.604.515.569.480.150.585.500, C20.683.515.761.480.150.585.500"
D000069294,twin-arginine-translocation system,D05.500.890.750
D000069295,mammary analogue secretory carcinoma,C04.557.470.200.588
D000069296,type iii secretion systems,D05.500.890.500.875
D000069316,acne conglobata,"C17.800.030.150.500, C17.800.794.111.500"
D000069319,type iv secretion systems,D05.500.890.500.937
D000069320,type v secretion systems,D05.500.890.500.968
D000069321,mitochondrial replacement therapy,"E02.875.800.750.350, E05.200.500.380.250, E05.393.085.250, E05.820.800.750.350"
D000069322,self expandable metallic stents,E07.695.750.750
D000069336,neurovascular coupling,G09.330.100.159.500
D000069337,fused kidney,"C12.706.445, C13.351.875.420, C16.131.939.445"
D000069338,neuropathology,"H01.158.610.184, H02.403.600.250, H02.403.650.375"
D000069339,trachelectomy,E04.950.300.399.690
D000069340,deprescriptions,E02.319.243
D000069341,transitional care,"E02.760.169.812, E02.760.940, N02.421.585.169.812, N02.421.585.940, N04.590.233.727.210.812"
D000069342,medical overuse,"N02.421.380.450, N05.300.150.395.450"
D000069343,bone-implant interface,"A02.835.232.022, A10.165.265.183, E07.695.125"
D000069347,erlotinib hydrochloride,D03.633.100.786.375
D000069348,quetiapine fumarate,"D02.886.680.702.500.500, D03.633.300.276.500"
D000069349,linezolid,"D02.065.064.463, D02.241.081.018.110.525, D03.383.129.462.600.550"
D000069350,telerehabilitation,"E02.760.169.063.500.891, E02.831.891, H02.403.680.600.937, H02.403.840.850, L01.178.847.652.850, N02.421.784.840, N04.590.374.800.850"
D000069356,tympanocentesis,"E01.370.225.998.329.905, E02.800.550.905, E04.665.600.905, E05.200.998.329.905"
D000069376,type vi secretion systems,D05.500.890.500.984
D000069377,type vii secretion systems,D05.500.890.500.992
D000069396,mitochondrial ribosomes,"A11.284.430.214.190.875.564.755, A11.284.430.214.190.875.811.370"
D000069416,intravital microscopy,"E01.370.350.515.277, E05.595.185"
D000069436,toxicological phenomena,G07.690.936
D000069437,pharmacological phenomena,G07.690.773
D000069438,ezetimibe,D03.383.082.301.550
D000069439,dasatinib,"D02.886.675.184, D03.383.129.708.198, D03.383.742.148"
D000069442,natalizumab,"D12.776.124.486.485.114.224.060.813, D12.776.124.790.651.114.224.060.813, D12.776.377.715.548.114.224.200.813"
D000069443,heptavalent pneumococcal conjugate vaccine,"D20.215.894.135.750.600.500, D20.215.894.815.410"
D000069444,omalizumab,"D12.776.124.486.485.114.071.500, D12.776.124.486.485.114.224.060.844, D12.776.124.790.651.114.071.500, D12.776.124.790.651.114.224.060.844, D12.776.377.715.548.114.071.500, D12.776.377.715.548.114.224.200.844"
D000069445,atomoxetine hydrochloride,D02.092.831.085
D000069446,atazanavir sulfate,"D03.383.725.068, D12.644.456.157"
D000069447,tiotropium bromide,"D02.145.074.722.822.887, D03.132.889.601.887, D03.605.084.500.722.822.887, D03.605.869.822.887"
D000069448,denosumab,"D12.776.124.486.485.114.224.060.782, D12.776.124.790.651.114.224.060.782, D12.776.377.715.548.114.224.200.782"
D000069449,cinacalcet,"D02.455.426.559.847.638.183, D04.615.638.183"
D000069450,liraglutide,D06.472.317.680.500.500.500
D000069451,long term adverse effects,C23.550.543
D000069452,pathogen-associated molecular pattern molecules,D23.585
D000069453,ultrasonic waves,G01.750.770.776.891
D000069454,darunavir,"D02.065.884.438, D02.241.081.251.222, D02.886.590.700.400, D03.383.312.303"
D000069455,palivizumab,"D12.776.124.486.485.114.224.060.860, D12.776.124.790.651.114.224.060.860, D12.776.377.715.548.114.224.200.860"
D000069456,silent mutation,G05.365.590.803
D000069457,population forecast,"I01.320.500, N01.224.667"
D000069458,ranolazine,"D02.065.199.092.850, D02.092.146.113.092.850, D03.383.606.841"
D000069459,"teas, herbal","D20.215.784.937, G07.203.100.950, J02.200.950"
D000069460,"teas, medicinal","G07.203.100.975, J02.200.975"
D000069461,bendamustine hydrochloride,"D02.241.081.114.625, D02.455.526.728.650.103, D03.633.100.103.123"
D000069462,dimethyl fumarate,D02.241.081.337.302.500
D000069463,olive oil,"D10.212.302.380.580, D10.212.507.650, D10.627.700.728, G07.203.300.375.400.500, J02.500.375.400.500"
D000069464,solifenacin succinate,"D03.605.687.900, D03.633.100.531.820.594"
D000069465,febuxostat,"D02.886.675.274, D03.383.129.708.274"
D000069466,red meat,"G07.203.300.600.813, J02.500.600.813"
D000069467,fecal microbiota transplantation,E02.095.231
D000069468,desvenlafaxine succinate,"D02.033.415.510.500.303, D02.455.426.392.368.367.318.500, D02.455.426.559.389.657.265, D10.289.510.500.303"
D000069469,medical-surgical nursing,"H02.478.676.403, N02.421.533.475"
D000069470,venlafaxine hydrochloride,"D02.033.415.510.500.901, D02.092.471.683.948, D02.455.426.392.368.367.318.750, D10.289.510.500.901"
D000069471,neurosurgeons,"M01.526.485.810.910.750, N02.360.810.910.750"
D000069472,colesevelam hydrochloride,"D02.092.050.500, D02.455.326.271.122.100.500"
D000069473,radiation dose hypofractionation,E02.815.639.200.500
D000069474,sofosbuvir,"D03.383.742.686.850.877.500, D13.695.740.850.877.500, D13.695.827.919.877.500"
D000069475,re-irradiation,"E02.815.791, E02.887.500"
D000069476,linagliptin,"D03.633.100.759.562, D03.633.100.786.563"
D000069478,lisdexamfetamine dimesylate,D02.092.471.683.152.110.200.500
D000069479,"buprenorphine, naloxone drug combination","D03.132.577.249.150.500, D03.132.577.249.706.275, D03.605.497.150.500, D03.605.497.750.275, D03.633.400.686.150.500, D03.633.400.686.750.275, D04.615.723.795.150.500, D04.615.723.795.706.275, D26.310.352"
D000069480,"emtricitabine, tenofovir disoproxil fumarate drug combination","D02.705.429.906.750, D03.383.742.680.245.500.600.750, D03.633.100.759.138.881.750, D13.570.230.329.525.500, D13.570.685.245.500.600.500, D26.310.423"
D000069497,origin of life,"G16.650, I01.076.368.584.542"
D000069499,"ezetimibe, simvastatin drug combination","D02.455.426.559.847.638.400.900.500, D03.383.082.301.550.500, D04.615.638.400.900.500, D26.310.431"
D000069501,abiraterone acetate,D04.210.500.054.079.065
D000069502,"budesonide, formoterol fumarate drug combination","D02.033.100.291.425.250, D02.092.063.291.425.250, D04.210.500.745.745.654.105.500, D26.310.348"
D000069503,vilazodone hydrochloride,"D03.383.606.980, D03.633.100.127.818, D03.633.100.473.957"
D000069516,international law,"I01.880.604.583.466, N03.706.535.533"
D000069520,blog,"V01.175.125, V02.170.250, V02.530.150.250"
D000069537,adult day care centers,"J03.850.500, N02.421.143.065"
D000069544,infectious encephalitis,"C01.207.399, C10.228.140.430.520, C10.228.228.399"
D000069545,"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate drug combination","D02.241.081.251.203.500, D02.705.429.906.250, D02.886.675.182.500, D03.383.129.708.189.500, D03.383.742.680.245.500.600.250, D03.633.100.759.138.881.250, D13.570.230.329.525.250, D13.570.685.245.500.600.250, D26.310.391"
D000069547,cobicistat,"D02.241.081.251.203, D02.886.675.182, D03.383.129.708.189"
D000069549,ustekinumab,"D12.776.124.486.485.114.224.060.937, D12.776.124.790.651.114.224.060.937, D12.776.377.715.548.114.224.200.937"
D000069550,machine learning,"G17.035.250.500, L01.224.050.375.530"
D000069551,environmental psychology,F04.096.628.033
D000069552,rivaroxaban,"D02.886.778.727, D03.383.533.640.713, D03.383.903.727"
D000069553,supervised machine learning,"G17.035.250.500.500, L01.224.050.375.530.500"
D000069555,"injection, intratympanic",E02.319.267.530.655
D000069557,travoprost,"D10.251.355.255.550.775.500.175.500, D23.469.050.175.725.775.500.175.500, D23.469.700.670.175.500"
D000069558,unsupervised machine learning,"G17.035.250.500.750, L01.224.050.375.530.750"
D000069559,loteprednol etabonate,D04.210.500.054.079.129.284
D000069576,health equity,"N04.590.374.350.500, N05.300.430.383"
D000069577,morcellation,E04.502.648
D000069578,waterborne diseases,C01.936
D000069579,ranibizumab,"D12.776.124.486.485.114.224.060.868, D12.776.124.790.651.114.224.060.868, D12.776.377.715.548.114.224.200.868"
D000069580,bimatoprost,"D02.065.141, D10.251.355.255.550.775.500.175.250, D23.469.050.175.725.775.500.175.250, D23.469.700.670.175.250"
D000069581,exposure to violence,I01.880.735.900.869
D000069582,eszopiclone,"D03.383.606.398, D03.383.679.600, D03.383.725.322"
D000069583,pregabalin,"D02.241.081.114.500.350.500, D12.125.190.350.450"
D000069584,unilateral breast neoplasms,"C04.588.180.800, C17.800.090.500.682"
D000069585,filgrastim,"D12.644.276.374.410.240.350.500, D12.776.395.240.200.500, D12.776.467.374.410.240.350.500, D23.529.374.410.240.350.500"
D000069586,adult survivors of child adverse events,M01.860.300
D000069590,round ligaments,"A02.513.901, A10.165.669.901"
D000069592,round ligament of liver,"A02.513.901.750, A03.620.575, A10.165.669.901.750"
D000069593,round ligament of femur,"A02.513.514.800, A02.513.901.500, A02.835.583.411.500, A02.835.583.512.950, A10.165.669.514.800, A10.165.669.901.500"
D000069594,abatacept,"D12.776.124.790.651.114.580.225, D12.776.377.715.548.114.580.225"
D000069597,presenteeism,"F02.784.692.586, F04.096.628.779.450"
D000069599,crop production,J01.040.227
D000069600,plant breeding,J01.040.227.500
D000069601,crop protection,J01.040.237
D000069602,working poor,M01.987
D000069603,sevelamer,D02.092.782.634
D000069604,dabigatran,"D03.383.725.192, D03.633.100.103.280"
D000069605,olopatadine hydrochloride,D03.633.300.382.696
D000069616,simeprevir,"D02.886.590.700.700, D03.633.300.819"
D000069636,pedestrians,M01.665
D000069756,undocumented immigrants,M01.189.500
D000069796,"adipose tissue, beige",A10.165.114.161
D000069797,"adipocytes, beige",A11.329.114.125
D000069816,sec translocation channels,"D05.500.890.625, D12.776.157.530.875, D12.776.543.585.875"
D000069836,degloving injuries,C26.808.500
D000069856,staghorn calculi,"C12.777.419.600.500.500, C12.777.967.249.500.500, C12.777.967.500.503.500, C13.351.968.419.600.500.500, C13.351.968.967.249.500.500, C13.351.968.967.500.503.500, C23.300.175.850.550.500"
D000069877,struvite,"D01.029.260.700.675.374.887, D01.524.775, D01.695.625.675.650.887"
D000069896,transcription activator-like effector nucleases,"D08.811.277.352.335.350.850, D12.776.828.300.850"
D000069916,endoscopic mucosal resection,"E01.370.372.250.250.250, E01.370.388.250.250.250.230, E04.210.240.250.230, E04.502.250.250.250.230"
D000069956,chocolate,"G07.203.300.195, J02.500.195"
D000069976,bacillus licheniformis,"B03.300.390.400.158.218.376, B03.353.500.100.218.376, B03.510.100.100.218.376, B03.510.415.400.158.218.376, B03.510.460.410.158.218.376"
D000069977,bacillus amyloliquefaciens,"B03.300.390.400.158.218.076, B03.353.500.100.218.076, B03.510.100.100.218.076, B03.510.415.400.158.218.076, B03.510.460.410.158.218.076"
D000069978,bifidobacterium longum,"B03.510.024.100.500, B03.510.460.400.400.049.100.500"
D000069979,bacillus pumilus,"B03.300.390.400.158.218.613, B03.353.500.100.218.613, B03.510.100.100.218.613, B03.510.415.400.158.218.613, B03.510.460.410.158.218.613"
D000069980,lactobacillus paracasei,"B03.353.750.450.475.559, B03.510.460.400.410.475.475.559, B03.510.550.450.475.559"
D000069981,escherichia coli o104,"B03.440.450.425.325.300.800.250.250, B03.660.250.150.180.100.800.250.250"
D000069982,bifidobacterium animalis,"B03.510.024.100.250, B03.510.460.400.400.049.100.250"
D000069983,saccharomyces boulardii,"B01.300.107.795.785.400, B01.300.930.705.328"
D000069984,bifidobacterium breve,"B03.510.024.100.375, B03.510.460.400.400.049.100.375"
D000069985,bifidobacterium bifidum,"B03.510.024.100.313, B03.510.460.400.400.049.100.313"
D000069996,lactobacillus salivarius,"B03.353.750.450.475.850, B03.510.460.400.410.475.475.850, B03.510.550.450.475.850"
D000069997,mastic resin,D20.215.721.500.626
D000069998,lactobacillus gasseri,"B03.353.750.450.475.363, B03.510.460.400.410.475.475.363, B03.510.550.450.475.363"
D000069999,lactobacillus johnsonii,"B03.353.750.450.475.453, B03.510.460.400.410.475.475.453, B03.510.550.450.475.453"
D000070,acebutolol,"D02.033.100.624.698.025, D02.033.755.624.698.025, D02.092.063.624.698.025"
D000070000,bacillus coagulans,"B03.300.390.400.158.218.314, B03.353.500.100.218.314, B03.510.100.100.218.314, B03.510.415.400.158.218.314, B03.510.460.410.158.218.314"
D000070001,streptococcus salivarius,"B03.353.750.737.872.663, B03.510.400.800.872.663, B03.510.550.737.872.663"
D000070002,propionibacterium freudenreichii,"B03.510.024.990.600.800, B03.510.460.400.400.600.600.800"
D000070003,lactobacillus crispatus,"B03.353.750.450.475.238, B03.510.460.400.410.475.475.238, B03.510.550.450.475.238"
D000070004,ocimum sanctum,B01.650.940.800.575.912.250.583.520.647.750
D000070005,bifidobacterium adolescentis,"B03.510.024.100.125, B03.510.460.400.400.049.100.125"
D000070006,pediococcus pentosaceus,"B03.353.750.450.737.750, B03.510.550.450.737.750"
D000070007,leuconostoc mesenteroides,"B03.353.750.475.450.500, B03.510.550.475.450.500"
D000070016,pediococcus acidilactici,"B03.353.750.450.737.500, B03.510.550.450.737.500"
D000070017,pediocins,"D12.776.097.151.743, D12.776.543.695.110.850"
D000070018,lactobacillus pentosus,"B03.353.750.450.475.586, B03.510.460.400.410.475.475.586, B03.510.550.450.475.586"
D000070019,bacillus clausii,"B03.300.390.400.158.218.283, B03.353.500.100.218.283, B03.510.100.100.218.283, B03.510.415.400.158.218.283, B03.510.460.410.158.218.283"
D000070036,faecalibacterium,"B03.353.625.766, B03.440.425.410.413"
D000070037,faecalibacterium prausnitzii,"B03.353.625.766.500, B03.440.425.410.413.500"
D000070057,paenibacillus polymyxa,"B03.300.390.400.645.750, B03.353.500.645.750, B03.510.100.645.750, B03.510.415.400.645.750, B03.510.460.410.645.750, B03.585.860"
D000070058,streptococcus iniae,"B03.353.750.737.872.405, B03.510.400.800.872.405, B03.510.550.737.872.405"
D000070059,paenibacillus larvae,"B03.300.390.400.645.500, B03.353.500.645.500, B03.510.100.645.500, B03.510.415.400.645.500, B03.510.460.410.645.500"
D000070060,bdellovibrio bacteriovorus,"B03.440.400.425.180.500, B03.660.125.050.500"
D000070076,enterococcus hirae,"B03.353.750.250.250.475, B03.510.550.250.250.475"
D000070077,bacteroides thetaiotaomicron,"B03.440.080.094.152.700, B03.440.425.410.194.152.700"
D000070079,aeromonas veronii,B03.440.450.019.025.845
D000070096,pseudomonas chlororaphis,"B03.440.400.425.625.625.223, B03.660.250.580.590.140"
D000070097,butyrivibrio fibrisolvens,B03.353.625.250.500
D000070098,bacillus firmus,"B03.300.390.400.158.218.345, B03.353.500.100.218.345, B03.510.100.100.218.345, B03.510.415.400.158.218.345, B03.510.460.410.158.218.345"
D000070099,streptococcus gallolyticus,"B03.353.750.737.872.243, B03.510.400.800.872.243, B03.510.550.737.872.243"
D000070100,informal sector,I01.791.500
D000070101,megasphaera elsdenii,B03.440.425.400.500.500
D000070116,lotus,B01.650.940.800.575.912.250.401.565
D000070136,lipid droplet associated proteins,D12.776.157.464
D000070137,perilipins,D12.776.157.464.500
D000070156,nogo receptors,"D12.776.395.550.448.738, D12.776.543.484.500.738, D12.776.543.550.418.738, D12.776.543.750.600, D12.776.631.651"
D000070177,pogostemon,B01.650.940.800.575.912.250.583.520.754
D000070197,streptococcus gallolyticus subspecies gallolyticus,"B03.353.750.737.872.243.500, B03.510.400.800.872.243.500, B03.510.550.737.872.243.500"
D000070216,psacalium,B01.650.940.800.575.912.250.100.605
D000070236,bifidobacterium longum subspecies infantis,"B03.510.024.100.500.500, B03.510.460.400.400.049.100.500.500"
D000070256,lactobacillus sakei,"B03.353.750.450.475.775, B03.510.460.400.410.475.475.775, B03.510.550.450.475.775"
D000070257,bifidobacterium pseudocatenulatum,"B03.510.024.100.750, B03.510.460.400.400.049.100.750"
D000070260,teacher training,I02.358.984
D000070263,sleep hygiene,"F01.145.488.725, F02.830.855.734"
D000070276,heart rate determination,"E01.370.370.380.425, E01.370.600.315"
D000070297,orthodontic friction,G01.154.090.625
D000070316,pediatric emergency medicine,"H02.403.250.500, H02.403.670.450"
D000070318,strategic planning,N04.452.718.500
D000070319,student run clinic,N02.278.912
D000070337,expropriation,I01.261.506
D000070356,pilots,M01.526.727
D000070357,asparagaceae,B01.650.940.800.575.912.250.618.100.060
D000070376,value-based health insurance,"N03.219.521.576.343.972, N04.761.744.750"
D000070377,anti-vaccination movement,I03.088
D000070378,amaryllidaceae,B01.650.940.800.575.912.250.618.100.050
D000070379,attentional bias,F02.830.104.214.500
D000070380,xanthorrhoeaceae,B01.650.940.800.575.912.250.618.100.970
D000070381,asparagales,B01.650.940.800.575.912.250.618.100
D000070396,liliales,B01.650.940.800.575.912.250.618.875
